feature,value
1007_s_at,0.0005898667259028
1053_at,0.0007232280454601
117_at,0.0004869361630314
121_at,0.0004238588034643
1255_g_at,0.0007425877744463
1294_at,0.0005238420972753
1316_at,0.0004970276481282
1320_at,0.0008774934355469
1405_i_at,0.012702079373444
1431_at,0.0004330935853571
1438_at,0.0006516352802594
1487_at,0.0188728098877192
1494_f_at,0.000467874829065
1552256_a_at,0.0005263237734593
1552257_a_at,0.0006076321870026
1552258_at,0.0006525538768965
1552261_at,0.0005333953265929
1552263_at,0.0004898957839885
1552264_a_at,0.0005328882516023
1552266_at,0.0006662313696883
1552269_at,0.0005253646232603
1552271_at,0.000718414649135
1552272_a_at,0.0541429038094695
1552274_at,0.0007275381667703
1552275_s_at,0.0009179962559571
1552276_a_at,0.00064734324632
1552277_a_at,0.0006271453858191
1552278_a_at,0.0005889355172523
1552279_a_at,0.0004477267864386
1552280_at,0.0003651771758676
1552281_at,0.0007175581312427
1552283_s_at,0.0005102130439716
1552286_at,0.000799475082849
1552287_s_at,0.0005920040896519
1552288_at,0.0004924202128334
1552289_a_at,0.0007229257123035
1552291_at,0.0007836931329523
1552293_at,0.0005426789629725
1552295_a_at,0.0007764782121459
1552296_at,0.0008668857165963
1552299_at,0.0004315990608621
1552301_a_at,0.0006353522302089
1552302_at,0.0005599101910034
1552303_a_at,0.000663806066466
1552304_at,0.000679933028498
1552306_at,0.0005989889449484
1552307_a_at,0.0006577374867544
1552309_a_at,0.0031506336500716
1552310_at,0.000406686834571
1552311_a_at,0.0004286559174083
1552312_a_at,0.0005565392296641
1552314_a_at,0.0007461445187135
1552315_at,0.0007393385003634
1552316_a_at,0.0005933384245742
1552318_at,0.000819598059511
1552319_a_at,0.0003783128698719
1552320_a_at,0.0007216694236414
1552321_a_at,0.0004577667676393
1552322_at,0.0005524375327483
1552323_s_at,0.0008286351456352
1552325_at,0.0006768618017551
1552326_a_at,0.0005942434354735
1552327_at,0.00056199882452
1552329_at,0.0007308311269977
1552330_at,0.0008451436278955
1552332_at,0.0006360525771827
1552334_at,0.0004754370338116
1552335_at,0.0005408082437053
1552337_s_at,0.0006950762829497
1552338_at,0.0006521618751306
1552340_at,0.0007346708024957
1552343_s_at,0.0004422337915832
1552344_s_at,0.0005202420394999
1552347_at,0.0006689768043651
1552348_at,0.0006521966935455
1552349_a_at,0.0004921780985538
1552354_at,0.0005530649529472
1552355_s_at,0.0008228509441635
1552359_at,0.0004731273419353
1552360_a_at,0.0006161993427593
1552362_a_at,0.000719938628188
1552364_s_at,0.0004511463413643
1552365_at,0.0007144727750122
1552367_a_at,0.0006272603241064
1552368_at,0.0004406454392913
1552370_at,0.0003863614752928
1552372_at,0.0006094182065309
1552373_s_at,0.000928669451599
1552375_at,0.0006463795832099
1552377_s_at,0.0007041418566213
1552378_s_at,0.0009550301355747
1552379_at,0.0006405173341267
1552381_at,0.0006283346454416
1552383_at,0.0003685322847981
1552384_a_at,0.0006714957792046
1552386_at,0.0006435238777558
1552388_at,0.0007037909529614
1552389_at,0.0007069328734668
