feature,value
1007_s_at,0.0006410843466037
1053_at,0.0003246387592045
117_at,0.0002301029704644
121_at,0.0004795915824546
1255_g_at,0.0003392067904923
1294_at,0.0002905021599159
1316_at,0.0003175910520508
1320_at,0.0002799891411995
1405_i_at,0.000304517430498
1431_at,0.0003511018029683
1438_at,0.0018012973396862
1487_at,0.0003452529105335
1494_f_at,0.0003231282844214
1552256_a_at,0.0006929208407477
1552257_a_at,0.000432555464227
1552258_at,0.0002876336049766
1552261_at,0.0001709994565213
1552263_at,0.0003525911630362
1552264_a_at,0.0003210946485477
1552266_at,0.0003645344710166
1552269_at,0.0008896025020206
1552271_at,0.0003042140376559
1552272_a_at,0.0005872018902309
1552274_at,0.0002534077227548
1552275_s_at,0.0004504517530837
1552276_a_at,0.0002830265853099
1552277_a_at,0.0003732461656655
1552278_a_at,0.0003865869432746
1552279_a_at,0.0003262559933216
1552280_at,0.0006326266130343
1552281_at,0.0004117952582582
1552283_s_at,0.0004605036734576
1552286_at,0.0009029489539305
1552287_s_at,0.0003887360076727
1552288_at,0.0002401760369415
1552289_a_at,0.0002370842754989
1552291_at,0.0002775235801254
1552293_at,0.0002299906144547
1552295_a_at,0.0003269404777941
1552296_at,0.0012002662442601
1552299_at,0.0002637224780209
1552301_a_at,0.0003427274466273
1552302_at,0.0032452101108238
1552303_a_at,0.0002509520051328
1552304_at,0.0038401230666792
1552306_at,0.0005776956730731
1552307_a_at,0.0008743078121141
1552309_a_at,0.0002707205829201
1552310_at,0.0002207695532399
1552311_a_at,0.000192587601447
1552312_a_at,0.0003104431867242
1552314_a_at,0.0004221253097631
1552315_at,0.0003131037559695
1552316_a_at,0.0005618928595935
1552318_at,0.0002678567808838
1552319_a_at,0.0003348573982851
1552320_a_at,0.0005558668595613
1552321_a_at,0.0006671122561612
1552322_at,0.0002653188284864
1552323_s_at,0.0003071149541703
1552325_at,0.0003042232036401
1552326_a_at,0.000252632934689
1552327_at,0.0001856529438248
1552329_at,0.0004614410961312
1552330_at,0.0002717878734003
1552332_at,0.0003543179292391
1552334_at,0.0002560402102914
1552335_at,0.0004257187603626
1552337_s_at,0.0002074781513011
1552338_at,0.0006106663052443
1552340_at,0.0002173945411508
1552343_s_at,0.0004364953735073
1552344_s_at,0.0005492274867528
1552347_at,0.0003768424969635
1552348_at,0.000358843579141
1552349_a_at,0.0003451652836634
1552354_at,0.0004155167029002
1552355_s_at,0.000184010152647
1552359_at,0.0004391363761085
1552360_a_at,0.0005624950127639
1552362_a_at,0.0004181546044733
1552364_s_at,0.0003773303542694
1552365_at,0.0003037604775637
1552367_a_at,0.000342437101209
1552368_at,0.0004302991960057
1552370_at,0.0002938602875315
1552372_at,0.0003129996897213
1552373_s_at,0.0003954043618116
1552375_at,0.0003512055919181
1552377_s_at,0.0002799683443702
1552378_s_at,0.0003280066057197
1552379_at,0.0005876365348791
1552381_at,0.0006405971010102
1552383_at,0.0003775426283822
1552384_a_at,0.0002658394058555
1552386_at,0.0016435483385703
1552388_at,0.0005210523535954
1552389_at,0.0003606190955905
1552390_a_at,0.0002433139988719
1552391_at,0.0003966837881446
1552393_at,0.0001512487825755
1552394_a_at,0.000420408959103
1552395_at,0.0004269752100763
1552396_at,0.0002865601682451
1552398_a_at,0.0004190823931531
1552399_a_at,0.0003018983288431
1552400_a_at,0.0004298991609001
1552401_a_at,0.0004755088267214
1552402_at,0.0002444968254592
1552405_at,0.0004731966240083
1552408_at,0.0003371249736289
1552409_a_at,0.0004286786185135
1552410_at,0.0009875913415279
