,PC 1 (0.21258920616809848),PC 2 (0.08902946415959591),type
909,-42.53475481339931,-29.410710837422833,normal
911,92.05304865992031,-8.172070258901082,normal
913,10.046432406237793,47.84838288415463,normal
916,109.62765554881784,2.048877850455772,normal
917,147.68428182649137,22.718473955315496,normal
920,-11.523743392091946,-11.94612406221966,normal
922,-24.421357182786018,14.766695667667488,normal
924,-56.67473018294984,-2.2880387930791755,normal
925,54.31209949712496,-10.523826781955089,normal
928,-28.50756066889281,-27.541125542435555,normal
929,-59.255926015587605,100.40855047753871,normal
931,42.5144480247247,11.897705608877155,normal
933,88.48999601737528,-21.986689424998787,normal
934,-41.987099092524836,-14.822958994411021,normal
936,-15.938771488013508,-22.555909377942857,normal
937,-52.654573294570966,-24.768931651205847,normal
939,96.93561281961901,5.679086255154969,normal
941,69.97707330498942,-13.093568577150906,normal
944,-29.890275309286373,-32.440607454084244,normal
945,-41.84341314151158,-16.31352837722798,normal
946,2.5473717981885087,-31.268428560998494,normal
948,172.22942285213603,-37.48484673666346,normal
953,50.33154732466078,-0.01978742972416248,normal
956,88.27782220424118,40.14681690589518,normal
959,74.68375691726094,40.1959273096216,normal
961,160.13441826143307,-0.46600342559021546,normal
964,108.11081468230692,-1.3753357537981754,normal
966,0.5471173116624058,19.47793780128819,normal
968,-11.0448446474464,-15.048490674683013,normal
970,-58.21811045202982,-51.202978976711144,normal
974,-63.59663832387562,-28.569651307043568,normal
975,118.72574769710232,-38.27829593578284,normal
976,101.38057108769448,3.989014277005496,normal
978,-39.96407702694145,-25.672716247056105,normal
981,-54.01331723340141,-21.75749538934987,normal
983,-66.34167104884659,153.56561107837163,normal
984,178.80772880290382,-43.89728499268255,normal
986,-22.594166526560826,-39.37600038277396,normal
988,-37.093414853838254,-62.26420524487571,normal
991,-24.84783211201025,-45.23678499823461,normal
994,-20.24813191765865,-35.72576097844241,normal
995,46.58913923850696,29.505245144674326,normal
997,-37.17159019687066,-33.91251412604815,normal
1,-46.0505797521026,-14.397993484364322,normal
3,-24.92024894800796,9.642841427350069,normal
5,-14.01407386256466,-37.85129092089381,normal
6,4.854113658404272,-35.0566179076925,normal
8,-43.52796433414524,59.97319976864893,normal
10,6.849934592971967,26.017272005044706,normal
13,-30.02177273716315,-50.06448395706929,normal
14,-7.135013024457742,-31.62752594483519,normal
16,-15.415090344820618,-52.691036194425266,normal
18,85.74957869682265,-2.68446254967988,normal
910,-23.283879665485063,13.514518749982072,tumoral
912,-61.14330104619747,-27.606836914147415,tumoral
914,3.74648943141376,129.70442980243777,tumoral
915,118.02936562798165,13.481296708735165,tumoral
918,-66.09117551649801,-22.430258433404074,tumoral
919,113.01521927174434,26.52006741706454,tumoral
921,20.51683556707798,-38.9711053289132,tumoral
923,-74.87808325279458,-30.69223218695258,tumoral
926,-49.40454231138127,9.743106965750313,tumoral
927,-46.19018632467007,17.682680721788813,tumoral
930,-48.67206180019873,121.46689953170903,tumoral
932,-55.84010644575878,-29.986936592147956,tumoral
935,-88.14201858550669,26.084250961912563,tumoral
938,-65.05539673268653,90.16721990927894,tumoral
940,189.82875077366728,54.58580724995661,tumoral
942,175.74116245417375,-17.04118398345771,tumoral
943,-70.00223170187347,57.2168766643865,tumoral
949,-15.94763502655171,12.394675567666626,tumoral
951,25.222655820586475,79.25795667824252,tumoral
952,-83.27707477502598,-3.6906954705343087,tumoral
954,10.690578300564779,-16.93746165124482,tumoral
955,-13.034361385787177,77.01814297362137,tumoral
957,-34.006170401176284,32.76862332516568,tumoral
958,-33.826971187941496,1.9589309173581795,tumoral
960,55.56764181449748,-7.548636064815701,tumoral
962,25.836047730409692,14.031279243531745,tumoral
963,-62.6327759205792,148.23125314880377,tumoral
965,-73.27715202226894,-0.5584708502194435,tumoral
967,-55.291338658048694,66.3310869240757,tumoral
969,-84.67565202535663,-25.516152223955604,tumoral
971,-88.06429317608152,35.08068051347841,tumoral
972,-49.545435762926104,-21.52971634933176,tumoral
973,-61.789692085185656,-36.040474916843124,tumoral
977,-75.38977468462834,-20.930632564876692,tumoral
979,-27.332363023487407,-5.185530274136547,tumoral
980,-87.0123135980952,-10.799632409789957,tumoral
982,-72.05950662860415,-32.635482305966406,tumoral
985,-21.927396466589578,33.918347055703435,tumoral
989,-47.07565010243392,-79.16425017470199,tumoral
990,-17.022100724428512,-29.656615138299475,tumoral
996,85.6142088828533,22.11442949863736,tumoral
998,-15.196343005340422,-5.355660584777665,tumoral
0,-7.911563247057932,-27.002042752791567,tumoral
2,-51.90312937981695,-54.145099960524945,tumoral
4,92.00670537586618,-1.9327115334850633,tumoral
7,6.534143388993077,-35.93889579438656,tumoral
9,11.770462541062598,-60.69429479605823,tumoral
11,-41.964005174347434,-65.1441055785339,tumoral
12,-27.158403055879788,-35.919773594748406,tumoral
15,59.58762949026508,14.938757077196,tumoral
17,-23.746237390811547,65.87355088415433,tumoral
19,-63.94656548689661,-37.11753622620323,tumoral
