feature,value
NM_144987,0.0004200369211455
NM_013290,0.0006136562955717
ENST00000322831,0.000512981122775
NM_001625,0.0006381992409918
lincRNA:chr7:226042-232442_R,0.0002767519370676
NM_032391,0.0004773682158375
ENST00000238571,0.0005114264891159
XR_108906,0.0004681766735702
NM_005937,0.0002786584560916
NM_152493,0.0005914798113911
lincRNA:chr8:104254399-104295074_F,0.0006367982849113
NM_014736,0.0031833006110476
ENST00000414816,0.0002254115800365
NM_017871,0.000458819011663
NR_028328,0.0005721555663996
NM_000266,0.0004298974952393
NM_182501,0.0004442165974859
NM_174905,0.0006716151052664
ERCC-00071_128,0.0060155341439936
ERCC-00142_99,0.0003487312440771
NM_138783,0.0005395377277307
NM_002610,0.0002898023256176
NM_001916,0.0004639756294356
NM_002196,0.0004321956072069
NM_015411,0.0005338772061223
NM_138330,0.0002285706463681
NM_003725,0.0004256299296763
NM_021804,0.0002839090505466
NM_015326,0.0004920210325283
NM_020974,0.000448351818845
NM_001005515,0.0003985971320892
NM_001014811,0.0004932489328176
NR_015421,0.0004009483524508
NM_033143,0.0006214136754279
lincRNA:chr8:145986196-145991421_F,0.0004188706837441
NM_176819,0.0005056407086398
NM_006472,0.0003753653297071
lincRNA:chrX:65009725-65085200_R,0.0002208112785115
lincRNA:chr5:124738151-124748189_F,0.000243869155973
NM_003314,0.0003528304297317
NM_181515,0.0004654763778464
XR_110033,0.000641101906425
NM_001004453,0.0007750862058339
NM_024074,0.0004534714409671
NM_152778,0.0002212571534608
NM_144670,0.0003337303529825
NM_198468,0.0005442194104535
XR_132725,0.0008358404349811
NM_213653,0.0005187660243451
A_33_P3344521,0.0004948705427402
NM_032553,0.0006429423538336
lincRNA:chr8:101925424-101930749_R,0.0005974809366256
ERCC-00134_68,0.0007369943153026
BC037261,0.0004179247337369
NR_034089,0.0006048778269645
AJ298317,0.0005717054192279
NM_002466,0.0039301809527665
XM_003119816,0.0004361113593711
NM_003673,0.0005704622310626
NR_026903,0.0005334238739121
NR_040253,0.0003580536241768
NM_015695,0.0006580810071178
NM_003060,0.0006322740621503
NM_181672,0.0004395695449209
NM_178523,0.0003129727585193
NM_000625,0.0004604088059176
lincRNA:chr12:59990908-60003558_R,0.0171211914527449
NM_007122,0.0004222412259156
NM_006497,0.0004141087196997
NM_006389,0.0005795930636874
lincRNA:chr3:62935685-63116160_R,0.0005167184201486
A_33_P3304092,0.0006217808850586
NM_004572,0.0005742629469522
